name_2,N_PERCENT_ASIAN,N_PERCENT_BLACK,N_PERCENT_HISPANIC,N_PERCENT_WHITE
American Village,6.984838747425891,15.272268096484051,5.2743093221088175,69.48151497512195
Welcome Circle,11.624909364736842,10.277849605052632,0.5938199407368421,71.58202331421053
West Hills,0.0,6.994047619,18.75,69.64285714
Spring Valley,1.4576290286588236,12.146353206761765,2.633701644497059,71.68526426808823
Myers Park/Beechgrove,2.490421456,15.90038314,2.011494253,62.2605364
Cole Mill Road,0.489084726,10.547085269917073,5.927595833073171,78.95998646985366
Westwood Estates,0.0,7.45564984741784,3.1326383820657275,85.26096591084507
Archer Woods,0.06792058516363636,11.135716989109092,0.948785025590909,86.19029356209091
Nancy Rhodes Creek,0.6592873634427482,8.393466558229008,5.617517113450381,83.70076744610687
Coles Pond,0.0,12.47443763,0.0,87.52556237
Forest Acres,0.0,9.520594193,6.144496962,84.06482107
Huckleberry Heights,0.0,9.520594193,6.144496962000001,84.06482107
Country Club Heights,0.0,24.72783826,17.41835148,55.98755832
Willowhaven,0.5934757776132723,15.608810584553774,7.6720038773958805,67.91407559693364
Inverness Drive,0.0,24.74382088623762,16.336738692871286,57.04533416158416
Heather Glen,0.0,24.79240807,13.048635819999998,60.26097272
Deer Forest,0.0,48.01711012269231,0.836451014102564,37.26157567730769
Fox Run,0.11375853173404255,2.2405399412659577,0.0,92.0072543711702
Knollwood,0.0,41.46505376,27.62096774,30.91397849
Westgate Townes,22.3880597,32.46268657,3.7313432840000003,29.850746270000002
Parc at University,4.755043228,7.780979827,0.0,77.23342939
Cameron Woods,14.40329218,1.783264746,3.223593964,76.54320988
Valley Run,4.024496938,14.17322835,10.93613298,69.37882765
Duke Forest,7.208764756914285,1.0057371461346938,0.842081688555102,89.0518071994694
Hope Valley North,0.0,56.99588477,4.218106996,38.78600823
Hope Valley Downs,0.0,25.741001196936708,27.69498954627848,44.82802372367088
Colchester,0.0,56.99588477000001,4.218106996,38.78600823
Sheridan Drive,0.0,56.995884769999996,4.218106996,38.78600823
Green Mill,0.0,56.995884769999996,4.218106996,38.78600823
Dixon Road Area,0.3435439772014926,8.98477015344776,31.082035320303486,55.92678353447761
Chapel Hill Road,5.146730628704918,24.90794126737705,50.78935422555738,16.48873519770492
Tuscaloosa-Lakewood,6.994871794592001,11.17916516704,0.831281570688,68.14177492456
Preston Woods,0.681998414,32.91681217622222,7.57217495397037,58.0850235902963
The Commons,14.40329218,1.783264746,3.223593964,76.54320988
Duke West Campus,16.477326134948452,21.18799934427835,12.241024602396907,45.26652258833505
Anderson St. / Wrightwood Park,0.0,26.24179944,28.39737582,28.49109653
Cranford Road,0.0,26.24179944,28.39737582,28.49109653
Walden Pond,12.4201278,41.33386581,7.068690096,34.94408946
Forest Oaks,12.4201278,41.33386581,7.068690095999999,34.94408946
Croasdaile,1.630434783,12.36413043,13.31521739,69.70108696
Duke Manor Apartments,14.469602977500001,48.10669626125,21.3334129325,12.967486984375
Watts Hospital-Hillandale,3.068567946592914,3.2715496592704265,9.784290308584238,80.33019345037599
Trinity Commons,35.95419847,10.15267176,10.61068702,41.3740458
Crest Street,0.30994998681034486,62.66790595956897,23.672485295431034,8.379798824439655
Old West Durham,12.816439913438801,6.574573216010417,9.52523391181901,62.441060811822915
Omah Street,0.4869807195463511,34.539319953017745,13.863562397337278,34.86236324059171
Waterford,0.0,11.3491725798,0.7023705003999999,87.017816006
Croasdaile Farm,7.195758289660832,17.713251947527354,3.529849071238512,70.29872695809627
River's Edge,2.978160159,3.904698875,3.37524818,83.38848445
