"VCS_block","VCS_COUNT","VCS_MED_ADJ_SALES_PRICE","VCS_MED_ADJ_SALES_RATIO","VCS_PERCENT_ASIAN","VCS_PERCENT_BLACK","VCS_PERCENT_HISPANIC","VCS_PERCENT_WHITE","VCS_DISPLAY_MED_SALES_RATIO"
"R749C",49,415000,0.54419917728431,10.24868124,31.98944989,1.620195931,50.03767898,0.589301298701299
"R757A",6,301745.068285281,0.744307177794834,11.2859745233333,31.119817165,3.12969083416667,48.942160305,0.842586834733894
"R758A",26,626493.550834598,0.672048726078799,7.96812749,44.09030544,2.921646746,41.03585657,0.712114514928459
"R759A",9,515144.157814871,0.538280904570211,0,38.58490566,24.62264151,32.83018868,0.623610869565217
"R759B",20,494248.445653696,0.533980046122577,10.24868124,31.98944989,1.620195931,50.03767898,0.568716313275522
"R759C",33,495235.204855842,0.550997222222222,4.281891169,21.67707404,2.943800178,61.46297948,0.587322645290581
"R759D",37,394446.130500759,0.567017361731364,4.281891169,21.67707404,2.943800178,61.46297948,0.635893150684931
"R759E",34,372148.910411622,0.549622104381276,3.91861341529412,39.8171047723529,4.453919068,43.7662128844118,0.587935135135135
"R759F",15,380860.349127182,0.501678097078,10.24868124,31.98944989,1.620195931,50.03767898,0.516008333333333
"R759G",30,432867.679057288,0.600219150098255,0,44.66279589,6.208128629,39.88387673,0.620078772231784
"R769A",52,404132.971819314,0.65232669445886,5.23220926584615,13.7683342343077,4.14589135678846,73.4626797369231,0.662752222222222
"R769B",80,660243.142144638,0.76033554617611,11.81364393,21.21464226,4.076539101,61.64725458,0.770825155724673
"R769C",221,591047.040971168,0.636563404255319,2.031694433,4.794798862,14.38439659,78.78911012,0.683292857142857
"R769D",236,416949.152542373,0.755632431335712,2.912621359,13.03744799,2.357836338,75.17337032,0.760684915899534
"R769E",26,702439.301972686,0.819025221138211,2.031694433,4.794798862,14.38439659,78.78911012,0.948366006441224
"R769M",24,629009.709382717,0.586472506755683,11.81364393,21.21464226,4.076539101,61.64725458,0.608804399554083
"R769N",45,510199.501246883,0.836890260162602,11.81364393,21.21464226,4.076539101,61.64725458,0.881420841683367
"R769V",41,524164.648910412,0.56623148267009,11.81364393,21.21464226,4.076539101,61.64725458,0.562118421052632
"R779A",36,385367.981790592,0.520505508768332,11.5663933030278,20.9874979747222,4.02879735758333,62.0229800172222,0.564290010074552
"R779B",24,458299.875311721,0.530945889430685,11.81364393,21.21464226,4.076539101,61.64725458,0.56645
"R779C",36,453861.91198786,0.535250454423951,11.81364393,21.21464226,4.076539101,61.64725458,0.578852363977486
"R779H",23,526150.121065375,0.607632825203252,11.81364393,21.21464226,4.076539101,61.64725458,0.70108138238573
"R797A",15,750000,0.667878819512195,16.01343785,4.479283315,1.511758119,74.41209406,0.673360248447205
"R798B",6,321377.805486284,0.553656594206667,16.01343785,4.479283315,1.511758119,74.41209406,0.553656594206667
