"VCS_block","VCS_COUNT","VCS_MED_ADJ_SALES_PRICE","VCS_MED_ADJ_SALES_RATIO","VCS_PERCENT_ASIAN","VCS_PERCENT_BLACK","VCS_PERCENT_HISPANIC","VCS_PERCENT_WHITE","VCS_MED_SALES_RATIO"
"R709A",14,818133.535660091,0.618469401870487,0.61462815,2.274124155,0,87.95328826,0.659063974358974
"R709B",12,1355250,0.47375734052892,0.61462815,2.274124155,0,87.95328826,0.527479512452512
"R709C",15,691566.265060241,0.615712508710801,7.371167645,11.2198304,6.196999348,74.36399217,0.60964121037464
"R709D",17,441729.893778452,0.633530942132951,7.371167645,11.2198304,6.196999348,74.36399217,0.662039024390244
"R709E",14,404700.303490137,0.53132400362145,7.371167645,11.2198304,6.196999348,74.36399217,0.581195607043559
"R709F",13,393201.820940819,0.665976291047827,0.446899852230769,25.70946509,24.8313090461538,46.1138171615385,0.684658227848101
"R709G",12,721312.5,0.552374957880069,0,25.96491228,26.9005848,44.09356725,0.603299235598963
"R709H",9,805000,0.625847588237432,0,25.96491228,26.9005848,44.09356725,0.72345035971223
"R709I",8,601623.672230653,0.627663432607721,5.809698079,22.64409881,0,70.3568161,0.701827088840363
"R709J",5,690591.805766313,0.556337644817073,5.809698079,22.64409881,0,70.3568161,0.69225625
"R709K",13,605000,0.525703703703704,5.809698079,22.64409881,0,70.3568161,0.59930297029703
"R709L",28,777178.463855422,0.640566288547799,5.809698079,22.64409881,0,70.3568161,0.695289988306274
"R709M",16,482169.95447648,0.574021624607256,5.809698079,22.64409881,0,70.3568161,0.668408392181589
"R709P",8,937500,0.290490811965812,5.809698079,22.64409881,0,70.3568161,0.290490811965812
"R709Q",6,633577.389984826,0.611201033192846,5.809698079,22.64409881,0,70.3568161,0.664191966893866
"R709R",21,466313.253012048,0.622542277525896,5.20259627571429,18.8390111204762,5.11962662380952,61.6296096819048,0.638105834464043
"R709S",6,1153000,0.451733532934132,0,25.96491228,26.9005848,44.09356725,0.451733532934132
"R717B",9,1877108.43373494,0.635423913043478,20.94517958,7.069943289,1.890359168,65.86011342,0.71826125
"R717C",46,719673.653262519,0.575108336646166,9.922113105,19.77649848,1.896376566,62.71588215,0.606360896925859
"R717D",43,838450,0.614473705124692,9.922113105,19.77649848,1.896376566,62.71588215,0.680078125
