"name_2","N_SALES_QUARTILE","N_OVER_UNDER","count"
"BAHAMA CENTRAL","Q3","accurate",0
"BAHAMA CENTRAL","Q3","over",0
"BAHAMA CENTRAL","Q3","under",1
"BAHAMA CENTRAL","Q4","accurate",1
"BAHAMA CENTRAL","Q4","over",0
"BAHAMA CENTRAL","Q4","under",1
"BAHAMA RUAL","Q1","accurate",3
"BAHAMA RUAL","Q1","over",12
"BAHAMA RUAL","Q1","under",3
"BAHAMA RUAL","Q2","accurate",6
"BAHAMA RUAL","Q2","over",6
"BAHAMA RUAL","Q2","under",5
"BAHAMA RUAL","Q3","accurate",8
"BAHAMA RUAL","Q3","over",4
"BAHAMA RUAL","Q3","under",5
"BAHAMA RUAL","Q4","accurate",7
"BAHAMA RUAL","Q4","over",4
"BAHAMA RUAL","Q4","under",6
"BAHAMA SOUTH","Q1","accurate",0
"BAHAMA SOUTH","Q1","over",1
"BAHAMA SOUTH","Q1","under",2
"BAHAMA SOUTH","Q2","accurate",0
"BAHAMA SOUTH","Q2","over",1
"BAHAMA SOUTH","Q2","under",1
"BAHAMA SOUTH","Q3","accurate",0
"BAHAMA SOUTH","Q3","over",2
"BAHAMA SOUTH","Q3","under",0
"BAHAMA SOUTH","Q4","accurate",1
"BAHAMA SOUTH","Q4","over",0
"BAHAMA SOUTH","Q4","under",1
"BAKERS MILL","Q1","accurate",2
"BAKERS MILL","Q1","over",3
"BAKERS MILL","Q1","under",0
"BAKERS MILL","Q2","accurate",1
"BAKERS MILL","Q2","over",2
"BAKERS MILL","Q2","under",1
"BAKERS MILL","Q3","accurate",1
"BAKERS MILL","Q3","over",1
"BAKERS MILL","Q3","under",2
"BAKERS MILL","Q4","accurate",0
"BAKERS MILL","Q4","over",0
"BAKERS MILL","Q4","under",4
"BARBEE MDWS","Q1","accurate",1
"BARBEE MDWS","Q1","over",1
"BARBEE MDWS","Q1","under",0
"BARBEE MDWS","Q2","accurate",2
"BARBEE MDWS","Q2","over",0
"BARBEE MDWS","Q2","under",0
"BARBEE MDWS","Q3","accurate",0
"BARBEE MDWS","Q3","over",0
"BARBEE MDWS","Q3","under",1
"BARBEE MDWS","Q4","accurate",1
"BARBEE MDWS","Q4","over",0
"BARBEE MDWS","Q4","under",1
"BARKLEY STREET TWNHMS","Q1","accurate",1
"BARKLEY STREET TWNHMS","Q1","over",1
"BARKLEY STREET TWNHMS","Q1","under",0
"BARKLEY STREET TWNHMS","Q2","accurate",1
"BARKLEY STREET TWNHMS","Q2","over",0
"BARKLEY STREET TWNHMS","Q2","under",0
"BARKLEY STREET TWNHMS","Q3","accurate",1
"BARKLEY STREET TWNHMS","Q3","over",0
"BARKLEY STREET TWNHMS","Q3","under",0
"BARKLEY STREET TWNHMS","Q4","accurate",1
"BARKLEY STREET TWNHMS","Q4","over",0
"BARKLEY STREET TWNHMS","Q4","under",0
"BARWICK DR","Q1","accurate",2
"BARWICK DR","Q1","over",4
"BARWICK DR","Q1","under",1
"BARWICK DR","Q2","accurate",5
"BARWICK DR","Q2","over",2
"BARWICK DR","Q2","under",0
"BARWICK DR","Q3","accurate",4
"BARWICK DR","Q3","over",1
"BARWICK DR","Q3","under",1
"BARWICK DR","Q4","accurate",5
"BARWICK DR","Q4","over",0
"BARWICK DR","Q4","under",2
"BAY CREEK","Q1","accurate",0
"BAY CREEK","Q1","over",0
"BAY CREEK","Q1","under",18
"BAY CREEK","Q2","accurate",4
"BAY CREEK","Q2","over",3
"BAY CREEK","Q2","under",0
"BAY CREEK","Q3","accurate",14
"BAY CREEK","Q3","over",0
"BAY CREEK","Q3","under",0
"BAY CREEK","Q4","accurate",11
"BAY CREEK","Q4","over",0
"BAY CREEK","Q4","under",0
"BAY POINTE","Q1","accurate",1
"BAY POINTE","Q1","over",1
"BAY POINTE","Q1","under",2
"BAY POINTE","Q2","accurate",0
"BAY POINTE","Q2","over",1
"BAY POINTE","Q2","under",2
"BAY POINTE","Q3","accurate",3
"BAY POINTE","Q3","over",0
"BAY POINTE","Q3","under",0
"BAY POINTE","Q4","accurate",0
"BAY POINTE","Q4","over",1
"BAY POINTE","Q4","under",2
"BELCREST","Q1","accurate",3
"BELCREST","Q1","over",1
"BELCREST","Q1","under",0
"BELCREST","Q2","accurate",3
"BELCREST","Q2","over",0
"BELCREST","Q2","under",0
"BELCREST","Q3","accurate",3
"BELCREST","Q3","over",0
"BELCREST","Q3","under",0
"BELCREST","Q4","accurate",1
"BELCREST","Q4","over",0
"BELCREST","Q4","under",2
"BELGREEN","Q1","accurate",6
"BELGREEN","Q1","over",2
"BELGREEN","Q1","under",0
"BELGREEN","Q2","accurate",7
"BELGREEN","Q2","over",1
"BELGREEN","Q2","under",0
"BELGREEN","Q3","accurate",6
"BELGREEN","Q3","over",0
"BELGREEN","Q3","under",1
"BELGREEN","Q4","accurate",2
"BELGREEN","Q4","over",0
"BELGREEN","Q4","under",6
"BENNINGTON","Q1","accurate",3
"BENNINGTON","Q1","over",3
"BENNINGTON","Q1","under",0
"BENNINGTON","Q2","accurate",5
"BENNINGTON","Q2","over",0
"BENNINGTON","Q2","under",1
"BENNINGTON","Q3","accurate",4
"BENNINGTON","Q3","over",1
"BENNINGTON","Q3","under",1
"BENNINGTON","Q4","accurate",2
"BENNINGTON","Q4","over",0
"BENNINGTON","Q4","under",4
"BENT CREEK","Q1","accurate",2
"BENT CREEK","Q1","over",2
"BENT CREEK","Q1","under",0
"BENT CREEK","Q2","accurate",1
"BENT CREEK","Q2","over",0
"BENT CREEK","Q2","under",2
"BENT CREEK","Q3","accurate",2
"BENT CREEK","Q3","over",1
"BENT CREEK","Q3","under",0
