"VCS_block","VCS_SALES_QUARTILE","VCS_OVER_UNDER","count"
"R708D","Q3","over",0
"R708D","Q3","under",2
"R708D","Q4","accurate",0
"R708D","Q4","over",0
"R708D","Q4","under",2
"R708F","Q1","accurate",3
"R708F","Q1","over",1
"R708F","Q1","under",0
"R708F","Q2","accurate",4
"R708F","Q2","over",0
"R708F","Q2","under",0
"R708F","Q3","accurate",2
"R708F","Q3","over",0
"R708F","Q3","under",1
"R708F","Q4","accurate",3
"R708F","Q4","over",0
"R708F","Q4","under",1
"R708G","Q1","accurate",0
"R708G","Q1","over",2
"R708G","Q1","under",0
"R708G","Q2","accurate",1
"R708G","Q2","over",0
"R708G","Q2","under",1
"R708G","Q3","accurate",1
"R708G","Q3","over",0
"R708G","Q3","under",0
"R708G","Q4","accurate",1
"R708G","Q4","over",1
"R708G","Q4","under",0
"R708R","Q1","accurate",1
"R708R","Q1","over",3
"R708R","Q1","under",0
"R708R","Q2","accurate",4
"R708R","Q2","over",0
"R708R","Q2","under",0
"R708R","Q3","accurate",3
"R708R","Q3","over",0
"R708R","Q3","under",1
"R708R","Q4","accurate",3
"R708R","Q4","over",0
"R708R","Q4","under",1
"R709A","Q1","accurate",3
"R709A","Q1","over",1
"R709A","Q1","under",0
"R709A","Q2","accurate",2
"R709A","Q2","over",1
"R709A","Q2","under",0
"R709A","Q3","accurate",3
"R709A","Q3","over",0
"R709A","Q3","under",0
"R709A","Q4","accurate",1
"R709A","Q4","over",0
"R709A","Q4","under",3
"R709B","Q1","accurate",0
"R709B","Q1","over",3
"R709B","Q1","under",0
"R709B","Q2","accurate",0
"R709B","Q2","over",2
"R709B","Q2","under",1
"R709B","Q3","accurate",1
"R709B","Q3","over",0
"R709B","Q3","under",2
"R709B","Q4","accurate",3
"R709B","Q4","over",0
"R709B","Q4","under",0
"R709C","Q1","accurate",3
"R709C","Q1","over",1
"R709C","Q1","under",0
"R709C","Q2","accurate",3
"R709C","Q2","over",0
"R709C","Q2","under",1
"R709C","Q3","accurate",2
"R709C","Q3","over",0
"R709C","Q3","under",1
"R709C","Q4","accurate",4
"R709C","Q4","over",0
"R709C","Q4","under",0
"R709D","Q1","accurate",2
"R709D","Q1","over",3
"R709D","Q1","under",0
"R709D","Q2","accurate",1
"R709D","Q2","over",2
"R709D","Q2","under",1
"R709D","Q3","accurate",1
"R709D","Q3","over",1
"R709D","Q3","under",2
"R709D","Q4","accurate",0
"R709D","Q4","over",0
"R709D","Q4","under",4
"R709E","Q1","accurate",2
"R709E","Q1","over",2
"R709E","Q1","under",0
"R709E","Q2","accurate",3
"R709E","Q2","over",0
"R709E","Q2","under",0
"R709E","Q3","accurate",3
"R709E","Q3","over",0
"R709E","Q3","under",0
"R709E","Q4","accurate",2
"R709E","Q4","over",0
"R709E","Q4","under",2
"R709F","Q1","accurate",2
"R709F","Q1","over",2
"R709F","Q1","under",0
"R709F","Q2","accurate",1
"R709F","Q2","over",0
"R709F","Q2","under",2
"R709F","Q3","accurate",0
"R709F","Q3","over",1
"R709F","Q3","under",2
"R709F","Q4","accurate",3
"R709F","Q4","over",0
"R709F","Q4","under",0
"R709G","Q1","accurate",1
"R709G","Q1","over",2
"R709G","Q1","under",0
"R709G","Q2","accurate",2
"R709G","Q2","over",1
"R709G","Q2","under",0
"R709G","Q3","accurate",2
"R709G","Q3","over",1
"R709G","Q3","under",0
"R709G","Q4","accurate",1
"R709G","Q4","over",0
"R709G","Q4","under",2
"R709H","Q1","accurate",1
"R709H","Q1","over",2
"R709H","Q1","under",0
"R709H","Q2","accurate",0
"R709H","Q2","over",0
"R709H","Q2","under",2
"R709H","Q3","accurate",2
"R709H","Q3","over",0
"R709H","Q3","under",0
"R709H","Q4","accurate",2
"R709H","Q4","over",0
"R709H","Q4","under",0
"R709I","Q1","accurate",0
"R709I","Q1","over",1
"R709I","Q1","under",1
"R709I","Q2","accurate",0
"R709I","Q2","over",1
"R709I","Q2","under",1
"R709I","Q3","accurate",2
"R709I","Q3","over",0
"R709I","Q3","under",0
"R709I","Q4","accurate",0
"R709I","Q4","over",1
"R709I","Q4","under",1
"R709J","Q1","accurate",2
"R709J","Q1","over",0
"R709J","Q1","under",0
"R709J","Q2","accurate",1
"R709J","Q2","over",0
"R709J","Q2","under",0
"R709J","Q3","accurate",1
"R709J","Q3","over",0
"R709J","Q3","under",0
"R709J","Q4","accurate",1
"R709J","Q4","over",0
"R709J","Q4","under",0
"R709K","Q1","accurate",2
"R709K","Q1","over",2
"R709K","Q1","under",0
"R709K","Q2","accurate",1
"R709K","Q2","over",0
"R709K","Q2","under",2
"R709K","Q3","accurate",2
"R709K","Q3","over",1
"R709K","Q3","under",0
"R709K","Q4","accurate",2
"R709K","Q4","over",1
"R709K","Q4","under",0
"R709L","Q1","accurate",4
"R709L","Q1","over",3
"R709L","Q1","under",0
"R709L","Q2","accurate",4
"R709L","Q2","over",3
"R709L","Q2","under",0
"R709L","Q3","accurate",3
"R709L","Q3","over",2
"R709L","Q3","under",2
"R709L","Q4","accurate",1
"R709L","Q4","over",2
"R709L","Q4","under",4
"R709M","Q1","accurate",0
"R709M","Q1","over",2
"R709M","Q1","under",2
"R709M","Q2","accurate",1
"R709M","Q2","over",3
"R709M","Q2","under",0
"R709M","Q3","accurate",1
"R709M","Q3","over",1
"R709M","Q3","under",2
"R709M","Q4","accurate",2
"R709M","Q4","over",0
"R709M","Q4","under",2
"R709P","Q1","accurate",0
"R709P","Q1","over",2
"R709P","Q1","under",0
"R709P","Q2","accurate",1
"R709P","Q2","over",1
"R709P","Q2","under",0
"R709P","Q3","accurate",1
"R709P","Q3","over",0
"R709P","Q3","under",1
"R709P","Q4","accurate",1
"R709P","Q4","over",0
"R709P","Q4","under",1
"R709Q","Q1","accurate",2
"R709Q","Q1","over",0
"R709Q","Q1","under",0
"R709Q","Q2","accurate",1
"R709Q","Q2","over",0
"R709Q","Q2","under",0
"R709Q","Q3","accurate",1
"R709Q","Q3","over",0
"R709Q","Q3","under",0
"R709Q","Q4","accurate",1
"R709Q","Q4","over",0
"R709Q","Q4","under",1
"R709R","Q1","accurate",4
"R709R","Q1","over",2
"R709R","Q1","under",0
"R709R","Q2","accurate",4
"R709R","Q2","over",1
"R709R","Q2","under",0
"R709R","Q3","accurate",3
"R709R","Q3","over",1
"R709R","Q3","under",1
"R709R","Q4","accurate",2
"R709R","Q4","over",0
"R709R","Q4","under",3
"R709S","Q1","accurate",1
"R709S","Q1","over",1
"R709S","Q1","under",0
"R709S","Q2","accurate",0
"R709S","Q2","over",0
"R709S","Q2","under",1
"R709S","Q3","accurate",2
"R709S","Q3","over",0
"R709S","Q3","under",0
"R709S","Q4","accurate",1
"R709S","Q4","over",0
"R709S","Q4","under",0
"R717B","Q1","accurate",1
"R717B","Q1","over",2
"R717B","Q1","under",0
"R717B","Q2","accurate",1
"R717B","Q2","over",1
"R717B","Q2","under",0
"R717B","Q3","accurate",0
"R717B","Q3","over",0
"R717B","Q3","under",2
"R717B","Q4","accurate",2
"R717B","Q4","over",0
"R717B","Q4","under",0
"R717C","Q1","accurate",8
"R717C","Q1","over",3
"R717C","Q1","under",1
"R717C","Q2","accurate",8
"R717C","Q2","over",2
"R717C","Q2","under",1
"R717C","Q3","accurate",5
"R717C","Q3","over",4
"R717C","Q3","under",2
"R717C","Q4","accurate",11
"R717C","Q4","over",0
"R717C","Q4","under",1
"R717D","Q1","accurate",5
"R717D","Q1","over",6
"R717D","Q1","under",0
"R717D","Q2","accurate",9
"R717D","Q2","over",2
"R717D","Q2","under",0
"R717D","Q3","accurate",4
"R717D","Q3","over",4
"R717D","Q3","under",2
"R717D","Q4","accurate",7
"R717D","Q4","over",1
"R717D","Q4","under",3
"R717F","Q1","accurate",6
"R717F","Q1","over",4
"R717F","Q1","under",0
"R717F","Q2","accurate",7
"R717F","Q2","over",2
"R717F","Q2","under",0
"R717F","Q3","accurate",7
"R717F","Q3","over",0
"R717F","Q3","under",2
"R717F","Q4","accurate",4
"R717F","Q4","over",0
"R717F","Q4","under",6
"R717G","Q1","accurate",8
"R717G","Q1","over",9
"R717G","Q1","under",1
"R717G","Q2","accurate",10
"R717G","Q2","over",3
"R717G","Q2","under",4
"R717G","Q3","accurate",13
"R717G","Q3","over",1
"R717G","Q3","under",3
"R717G","Q4","accurate",9
"R717G","Q4","over",3
"R717G","Q4","under",5
"R717H","Q1","accurate",2
"R717H","Q1","over",0
